fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
48,car,0.58,4,1343,321,1382,353,0,0,0,0,0,0,
49,car,0.93,1,0,221,502,947,0,0,0,0,0,0,
49,car,0.5,2,1202,318,1270,361,0,0,0,0,0,0,
49,car,0.51,3,1303,319,1344,347,0,0,0,0,0,0,
49,car,0.58,4,1343,321,1382,353,0,0,0,0,0,0,
50,car,0.87,1,0,229,438,949,0,0,0,0,0,0,
50,car,0.58,2,1202,318,1271,361,0,0,0,0,0,0,
50,car,0.5,3,1303,319,1344,348,0,0,0,0,0,0,
50,car,0.58,4,1343,321,1382,353,0,0,0,0,0,0,
51,car,0.77,1,0,241,364,984,0,0,0,0,0,0,
51,car,0.63,2,1202,317,1271,361,0,0,0,0,0,0,
51,car,0.51,3,1302,319,1344,348,0,0,0,0,0,0,
51,car,0.59,4,1343,321,1382,353,0,0,0,0,0,0,
52,car,0.81,1,0,301,273,1039,0,0,0,0,0,0,
52,car,0.71,2,1202,318,1272,361,0,0,0,0,0,0,
52,car,0.5,3,1302,319,1344,348,0,0,0,0,0,0,
52,car,0.59,4,1343,321,1383,353,0,0,0,0,0,0,
53,car,0.78,1,0,392,164,1047,0,0,0,0,0,0,
53,car,0.71,2,1203,319,1272,361,0,0,0,0,0,0,
53,car,0.49,3,1303,319,1343,347,0,0,0,0,0,0,
53,car,0.6,4,1343,321,1382,353,0,0,0,0,0,0,
